name,artist,popularity,id,label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Havana (feat. Young Thug),"['Camila Cabello', 'Young Thug']",80,1rfofaqEpACxVEHIZBJe6W,pop,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4
Havana (feat. Young Thug),"['Camila Cabello', 'Young Thug']",80,1rfofaqEpACxVEHIZBJe6W,pop,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4
Moves Like Jagger - Studio Recording From The Voice Performance,"['Maroon 5', 'Christina Aguilera']",76,7pYfyrMNPn3wtoCyqcTVoI,pop,0.722,0.761,11,-4.459,0,0.0475,0.0117,0.0,0.315,0.624,128.044,audio_features,spotify:track:7pYfyrMNPn3wtoCyqcTVoI,https://api.spotify.com/v1/tracks/7pYfyrMNPn3wtoCyqcTVoI,https://api.spotify.com/v1/audio-analysis/7pYfyrMNPn3wtoCyqcTVoI,201493,4
Moves Like Jagger - Studio Recording From The Voice Performance,"['Maroon 5', 'Christina Aguilera']",76,7pYfyrMNPn3wtoCyqcTVoI,pop,0.722,0.761,11,-4.459,0,0.0475,0.0117,0.0,0.315,0.624,128.044,audio_features,spotify:track:7pYfyrMNPn3wtoCyqcTVoI,https://api.spotify.com/v1/tracks/7pYfyrMNPn3wtoCyqcTVoI,https://api.spotify.com/v1/audio-analysis/7pYfyrMNPn3wtoCyqcTVoI,201493,4
Moves Like Jagger - Studio Recording From The Voice Performance,"['Maroon 5', 'Christina Aguilera']",76,7pYfyrMNPn3wtoCyqcTVoI,pop,0.722,0.761,11,-4.459,0,0.0475,0.0117,0.0,0.315,0.624,128.044,audio_features,spotify:track:7pYfyrMNPn3wtoCyqcTVoI,https://api.spotify.com/v1/tracks/7pYfyrMNPn3wtoCyqcTVoI,https://api.spotify.com/v1/audio-analysis/7pYfyrMNPn3wtoCyqcTVoI,201493,4
Moves Like Jagger - Studio Recording From The Voice Performance,"['Maroon 5', 'Christina Aguilera']",76,7pYfyrMNPn3wtoCyqcTVoI,pop,0.722,0.761,11,-4.459,0,0.0475,0.0117,0.0,0.315,0.624,128.044,audio_features,spotify:track:7pYfyrMNPn3wtoCyqcTVoI,https://api.spotify.com/v1/tracks/7pYfyrMNPn3wtoCyqcTVoI,https://api.spotify.com/v1/audio-analysis/7pYfyrMNPn3wtoCyqcTVoI,201493,4
The Middle,"['Zedd', 'Maren Morris', 'Grey']",81,09IStsImFySgyp0pIQdqAc,pop,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,audio_features,spotify:track:09IStsImFySgyp0pIQdqAc,https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc,https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc,184732,4
Cheap Thrills (feat. Sean Paul),"['Sia', 'Sean Paul']",69,6b3b7lILUJqXcp6w9wNQSm,pop,0.592,0.8,6,-4.931,0,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,audio_features,spotify:track:6b3b7lILUJqXcp6w9wNQSm,https://api.spotify.com/v1/tracks/6b3b7lILUJqXcp6w9wNQSm,https://api.spotify.com/v1/audio-analysis/6b3b7lILUJqXcp6w9wNQSm,224813,4
Call Me Maybe,['Carly Rae Jepsen'],78,20I6sIOMTCkB6w7ryavxtO,pop,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,audio_features,spotify:track:20I6sIOMTCkB6w7ryavxtO,https://api.spotify.com/v1/tracks/20I6sIOMTCkB6w7ryavxtO,https://api.spotify.com/v1/audio-analysis/20I6sIOMTCkB6w7ryavxtO,193400,4
Call Me Maybe,['Carly Rae Jepsen'],78,20I6sIOMTCkB6w7ryavxtO,pop,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,audio_features,spotify:track:20I6sIOMTCkB6w7ryavxtO,https://api.spotify.com/v1/tracks/20I6sIOMTCkB6w7ryavxtO,https://api.spotify.com/v1/audio-analysis/20I6sIOMTCkB6w7ryavxtO,193400,4
Call Me Maybe,['Carly Rae Jepsen'],78,20I6sIOMTCkB6w7ryavxtO,pop,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,audio_features,spotify:track:20I6sIOMTCkB6w7ryavxtO,https://api.spotify.com/v1/tracks/20I6sIOMTCkB6w7ryavxtO,https://api.spotify.com/v1/audio-analysis/20I6sIOMTCkB6w7ryavxtO,193400,4
Call Me Maybe,['Carly Rae Jepsen'],78,20I6sIOMTCkB6w7ryavxtO,pop,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,audio_features,spotify:track:20I6sIOMTCkB6w7ryavxtO,https://api.spotify.com/v1/tracks/20I6sIOMTCkB6w7ryavxtO,https://api.spotify.com/v1/audio-analysis/20I6sIOMTCkB6w7ryavxtO,193400,4
Mama,"['Jonas Blue', 'William Singe']",73,7jEyX4bqaCSdMN4D4JNnVj,pop,0.738,0.794,11,-4.118,0,0.0416,0.101,0.0,0.0533,0.566,104.014,audio_features,spotify:track:7jEyX4bqaCSdMN4D4JNnVj,https://api.spotify.com/v1/tracks/7jEyX4bqaCSdMN4D4JNnVj,https://api.spotify.com/v1/audio-analysis/7jEyX4bqaCSdMN4D4JNnVj,184134,4
Summer,['Calvin Harris'],83,6YUTL4dYpB9xZO5qExPf05,pop,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,audio_features,spotify:track:6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/tracks/6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/audio-analysis/6YUTL4dYpB9xZO5qExPf05,222533,4
Diamonds,['Rihanna'],75,6O20JhBJPePEkBdrB5sqRx,pop,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972,audio_features,spotify:track:6O20JhBJPePEkBdrB5sqRx,https://api.spotify.com/v1/tracks/6O20JhBJPePEkBdrB5sqRx,https://api.spotify.com/v1/audio-analysis/6O20JhBJPePEkBdrB5sqRx,225147,4
